Role_Search,Title,Company,Location,Experience,Salary,Skills,Min_Exp,Max_Exp,Avg_Exp,Min_Salary,Max_Salary,City,Role_Category,Skills_List
data analyst,"Online Data Analyst - ""Bengali""",TELUS Digital,Remote,0-2 Yrs,,BengaliEnglishEnglish WritingGoogle MapsGood English CommunicationBengali ContentMappingData analysis,0.0,2.0,1.0,,,Remote,Data,bengalienglishenglish writinggoogle mapsgood english communicationbengali contentmappingdata analysis
data analyst,Data Analyst,Newfangled Vision,"Mumbai, Delhi / NCR",2-5 Yrs,4-5 Lacs PA,Power BiAdvanced ExcelSQLData AnalyticsPythonBusiness AnalyticsArtificial IntelligenceData Extraction,2.0,5.0,3.5,4.0,5.0,Mumbai,Data,power biadvanced excelsqldata analyticspythonbusiness analyticsartificial intelligencedata extraction
data analyst,Data Analyst,Fiserv,Thane,3-5 Yrs,8-15 Lacs PA,Power BiSQLPythonRSAS SQLSASSAS ProgrammingTableau,3.0,5.0,4.0,8.0,15.0,Thane,Data,power bisqlpythonrsas sqlsassas programmingtableau
data analyst,Data Analyst,GE VERNOVA,"Chennai, Bengaluru, Delhi / NCR",2-7 Yrs,12-22 Lacs PA,Data AnalysisPower BiData ManagementData AnalyticsSQLManagementAnalyticsBi,2.0,7.0,4.5,12.0,22.0,Chennai,Data,data analysispower bidata managementdata analyticssqlmanagementanalyticsbi
data analyst,Data Analyst,leading bank,Chennai,3-8 Yrs,6-11 Lacs PA,VBAData AnalyticsTableauAnalyticsDataData analysis,3.0,8.0,5.5,6.0,11.0,Chennai,Data,vbadata analyticstableauanalyticsdatadata analysis
data analyst,Online Data Analyst - Kannada,TELUS Digital,Remote,0-2 Yrs,,Data AnalysisMappingOnline Data Analysisquality assuranceAI modelsmachine learningAssuranceData,0.0,2.0,1.0,,,Remote,Data,data analysismappingonline data analysisquality assuranceai modelsmachine learningassurancedata
data analyst,Fresher: AI Data Analyst - International Team,Silicon Media Technologies Pvt. Ltd,Bangalore/Bengaluru(Old Airport Road),0 Yrs,2.25 Lacs PA,AnalyticsTechnology ResearchChatgptMarket ResearchGeminiResearch AnalysisData InterpretationArtificial Intelligence,0.0,0.0,0.0,2.0,25.0,Bangalore/Bengaluru(Old Airport Road),Data,analyticstechnology researchchatgptmarket researchgeminiresearch analysisdata interpretationartificial intelligence
data analyst,Data Analyst (Remote),Crossing Hurdles,Remote,0-5 Yrs,5-15 Lacs PA,ForecastingAnalyticalData AnalysisStatisticsAnalyticsAnalysisRemoteData,0.0,5.0,2.5,5.0,15.0,Remote,Data,forecastinganalyticaldata analysisstatisticsanalyticsanalysisremotedata
data analyst,Data Analyst,Barclays,Pune,0-7 Yrs,,Data analysisSenior AnalystData modelingAnalyticalWorkflowData qualityContinuous improvementApache,0.0,7.0,3.5,,,Pune,Data,data analysissenior analystdata modelinganalyticalworkflowdata qualitycontinuous improvementapache
data analyst,Data Analyst,Barclays,Gurugram,0-5 Yrs,,SASProject managementAnalyticalMachine learningAgileWorkflowBusiness strategyAssistant Vice President,0.0,5.0,2.5,,,Gurugram,Data,sasproject managementanalyticalmachine learningagileworkflowbusiness strategyassistant vice president
data analyst,Data Analyst,Swiggy,Bengaluru,1-6 Yrs,3.25-5 Lacs PA,E-commerceAdvance SqlData AnalyticsPower BiAdvanced ExcelSQLDataData analysis,1.0,6.0,3.5,3.0,25.0,Bengaluru,Data,e-commerceadvance sqldata analyticspower biadvanced excelsqldatadata analysis
data analyst,Data Analyst,FE Fundinfo,Chennai,0-3 Yrs,,Analytical skillsData managementFocusAgileDeploymentData AnalystManagementSLAS,0.0,3.0,1.5,,,Chennai,Data,analytical skillsdata managementfocusagiledeploymentdata analystmanagementslas
data analyst,Data Analyst,Simply Vyapar Apps,Bengaluru(Bellandur),0-1 Yrs,,SQL QueriesData AnalyticsProblem SolvingData VisualizationAb TestingSQLAbSoftware testing,0.0,1.0,0.5,,,Bengaluru(Bellandur),Data,sql queriesdata analyticsproblem solvingdata visualizationab testingsqlabsoftware testing
data analyst,Data Analyst,R R Groups,Bengaluru,0-1 Yrs,,data analysismodelingdocumentationbistrong analytical skillspower biproblem solvingdashboards,0.0,1.0,0.5,,,Bengaluru,Data,data analysismodelingdocumentationbistrong analytical skillspower biproblem solvingdashboards
